condition,runs,injected_violation_runs,should_pass_runs,baseline_1_false_negative_rate,baseline_2_false_negative_rate,gate_detection_rate,valid_retention_rate,false_blocking_rate,verdict_classification_accuracy,expected_verdict
valid_complete_trace,100,0,100,---,---,---,1.000,0.000,1.000,VALID
noisy_but_valid_metadata,100,0,100,---,---,---,1.000,0.000,1.000,VALID
unknown_optional_metadata,100,0,100,---,---,---,1.000,0.000,1.000,VALID
reordered_required_events,100,0,100,---,---,---,1.000,0.000,1.000,VALID
duplicated_evidence_event_idempotent,100,0,100,---,---,---,1.000,0.000,1.000,VALID
missing_audit_evidence,100,100,0,1.000,0.000,1.000,---,---,1.000,BLOCKED
missing_ai_discovery_output,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
missing_evidence_pack,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
partial_evidence_bundle,100,100,0,1.000,0.000,1.000,---,---,1.000,BLOCKED
failed_compliance_evaluation,100,100,0,1.000,0.000,1.000,---,---,1.000,INVALID
inconsistent_evaluation_result,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
missing_approval_record,100,100,0,1.000,0.000,1.000,---,---,1.000,BLOCKED
stale_approval,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
approval_recorded_before_evaluation,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
invalid_approval_state,100,100,0,1.000,0.000,1.000,---,---,1.000,BLOCKED
inconsistent_run_context,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
wrong_run_id,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
unavailable_audit_run,100,100,0,1.000,0.000,1.000,---,---,1.000,BLOCKED
digest_mismatch_events_only,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
digest_mismatch_export_only,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
policy_version_mismatch,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
duplicated_evidence_event_conflicting,100,100,0,1.000,1.000,1.000,---,---,1.000,BLOCKED
OVERALL,2200,,,1.000,0.647,1.000,1.000,0.000,1.000,
