metric,value
total_repositories,30
model_centric_validation_count,30
model_centric_validation_rate,1
mean_auditability_score,0.31333333333333335
partial_auditability_count,14
partial_auditability_rate,0.46666666666666667
strong_auditability_count,2
strong_auditability_rate,0.066666666666666666
complete_decision_level_auditability_count,1
complete_decision_level_auditability_rate,0.033333333333333333
auditability_gap_count,29
auditability_gap_rate,0.96666666666666667
audit_evidence_trace_count,15
audit_evidence_trace_rate,0.5
ai_discovery_or_inventory_count,13
ai_discovery_or_inventory_rate,0.43333333333333335
explicit_approval_gate_count,3
explicit_approval_gate_rate,0.10000000000000001
decision_record_count,13
decision_record_rate,0.43333333333333335
run_to_decision_traceability_count,3
run_to_decision_traceability_rate,0.10000000000000001
